Item1 Item2.X Item2.Y
4.4696704 757.8785 514.6127 
4.478016 757.7753 517.1609 
4.4863488 757.4211 519.4642 
4.4946944 757.4341 521.7939 
4.5030144 757.4768 524.1119 
4.5116032 757.4445 526.8601 
4.5196672 757.7922 529.5052 
4.5282816 758.2455 532.0041 
4.5363968 757.9639 533.9488 
4.5446656 758.064 536.6564 
4.5529984 757.8035 539.2941 
4.5613696 757.2372 542.2312 
4.569664 756.8342 544.4243 
4.5811072 756.8383 546.42 
4.5863424 756.2732 548.7238 
4.596864 755.9337 551.2901 
4.6029696 756.2135 553.4177 
4.6112896 756.2126 555.5171 
4.619648 755.6517 557.8584 
4.6283648 755.28 561.0623 
4.6363264 754.3864 564.0561 
4.644608 753.3135 566.579 
4.6529024 752.845 568.3784 
4.6612608 752.4371 570.2546 
4.6695936 752.0345 572.7164 
4.6779264 751.7515 575.4909 
4.6863104 751.7697 578.3375 
4.694592 751.1906 580.7097 
4.7029632 750.4418 583.1338 
4.7112576 749.7545 585.9579 
4.7195904 748.5367 588.3255 
4.7279104 747.833 590.5726 
4.7362432 747.4113 592.5328 
4.7450624 747.0968 594.4559 
4.7529088 746.6414 596.796 
4.7612928 746.3093 599.3746 
4.7695232 746.2206 601.9951 
4.7785984 745.9065 603.918 
4.7862144 745.2819 605.9963 
4.794496 744.4877 608.3585 
4.8028928 743.5486 610.3682 
4.8111872 742.6421 612.485 
4.8195456 741.8271 614.4157 
4.8283008 741.1777 616.2859 
4.8361856 740.2452 618.5171 
4.8445056 739.5661 621.0753 
4.852864 738.7784 623.6394 
4.8613888 737.9262 625.7922 
4.8695296 736.517 628.366 
4.8781568 735.1602 631.6503 
4.8862848 733.6524 634.345 
4.8944768 732.4903 636.3857 
4.9028352 731.9335 638.217 
4.911168 731.1864 640.189 
4.9194752 730.1788 642.9336 
4.9308544 729.4743 645.8373 
4.9361536 728.7244 648.5591 
4.944512 727.4891 650.4485 
4.9527936 726.1295 652.8571 
4.961152 724.4231 655.4006 
4.9694848 723.1033 657.3259 
4.9782528 721.9249 659.002 
4.9861248 720.8591 660.5061 
4.9944448 720.0059 662.1166 
5.0027776 718.7128 664.6787 
5.0112128 717.8584 666.1049 
5.019456 716.8571 667.6545 
5.0277888 715.9543 668.9932 
5.0361216 714.8367 671.1594 
5.0444416 713.2386 673.4948 
5.052736 711.6093 675.2922 
5.061056 709.7787 676.8545 
5.0693888 708.5576 678.5098 
5.0781824 707.0597 680.6166 
5.086144 705.778 682.4393 
5.0943872 704.5084 685.0455 
5.1027072 703.4835 686.7709 
5.1110656 702.0526 688.0437 
5.119424 700.4899 690.2958 
5.1277312 698.8744 692.8061 
5.1361536 697.3542 694.4756 
5.1443584 695.9484 695.9993 
5.1575296 694.467 697.7147 
5.1609856 693.496 698.9884 
5.1695104 691.7543 700.6854 
5.1776896 690.2107 702.7713 
5.1861632 689.0887 704.4819 
5.1943808 687.3666 705.6348 
5.2031872 685.6478 707.1588 
5.211072 683.6591 709.0721 
5.2193664 681.5457 710.4797 
5.227648 679.9977 711.2222 
5.2360064 678.3643 712.3142 
5.2443264 677.0096 713.2763 
5.252672 675.3364 714.4119 
5.2612736 673.2913 715.9579 
5.269312 671.5775 718.0612 
5.2779648 670.3697 719.6667 
5.2860032 668.735 720.8398 
5.2942976 666.8217 722.546 
5.3026432 664.4721 723.8209 
5.3109248 662.3372 724.7452 
5.31936 660.2566 725.7163 
5.327616 658.5035 726.6178 
5.3359872 657.3542 727.2538 
5.3442816 655.6582 728.398 
5.352576 653.4615 729.8854 
5.3613952 651.5318 731.1816 
5.3693056 649.4547 732.3885 
5.3776128 647.2121 733.6169 
5.38592 645.0824 734.6205 
5.3942528 642.8591 735.3231 
5.4025984 640.4341 735.9421 
5.4109056 639.142 736.9545 
5.4192384 637.363 737.895 
5.427584 634.9489 738.8833 
5.435904 632.8827 740.1663 
5.4444544 630.6611 741.4634 
5.4525824 629.0748 742.1965 
5.4614144 626.6945 743.3804 
5.4692992 623.7803 744.0719 
5.477568 621.1957 744.7783 
5.485888 619.0933 745.2644 
5.4942336 617.0422 746.1216 
5.502528 615.4529 746.3514 
5.5141504 612.7719 746.9789 
5.519168 610.3857 747.4439 
5.5275392 608.0134 748.1759 
5.5358592 605.6658 748.8073 
5.5441792 603.1822 749.3317 
5.5525248 600.5603 749.8585 
5.5613184 598.1438 749.7217 
5.5691648 595.5696 749.6526 
5.5775104 594.3032 749.7354 
5.5858304 592.0359 750.076 
5.5941248 588.5761 750.5095 
5.6025088 586.1442 751.0483 
5.6108288 584.2543 751.6315 
5.6191744 582.4199 751.8997 
5.6274688 580.3911 751.9966 
5.6358144 577.8614 751.7934 
5.6441472 575.4366 751.8285 
5.65248 573.2659 751.8599 
5.6612096 571.5452 752.2394 
5.6690944 568.6336 752.823 
5.67744 565.8135 753.1632 
5.6857728 563.3829 753.4863 
5.6943232 561.3191 753.416 
5.7024384 559.2316 753.3669 
5.7112064 556.49 753.3342 
5.719168 555.1108 753.1134 
5.727424 553.8599 752.9628 
5.7357568 552.8638 752.7215 
5.7440512 551.7319 752.4673 
5.7524096 550.134 752.1525 
5.7607424 548.2047 752.3444 
5.7693568 545.5844 752.5021 
5.7774208 543.0361 752.6074 
5.7860736 541.1092 752.7608 
5.7940224 539.2313 753.0695 
5.8023936 537.4539 753.394 
5.8107392 535.3775 753.1619 
5.8190848 533.0294 753.161 
5.8273664 531.5749 753.2961 
5.8363136 529.5637 753.3063 
5.8440064 527.3568 753.5495 
5.852352 524.3748 753.5651 
5.8607232 522.4024 753.6172 
5.869056 519.8733 753.5957 
5.8773632 517.8608 753.1933 
5.8857472 515.0763 753.0105 
5.8940032 512.4009 752.6622 
5.9028096 510.0299 751.9647 
5.9108224 508.3697 751.6113 
5.9190528 506.6607 751.7263 
5.9273088 504.5406 751.9036 
5.9356672 502.0128 752.1088 
5.944192 499.8329 752.6447 
5.95232 497.0736 753.1888 
5.961088 495.0053 753.2803 
5.9690752 493.1181 753.3806 
5.9773184 490.1671 753.6262 
5.9856256 487.7502 753.6088 
5.9940992 485.4759 753.4448 
6.002304 483.7904 753.5862 
6.0110848 482.2012 753.7694 
6.019392 480.416 754.5966 
6.0273024 477.5926 754.9354 
6.0356096 475.4103 755.5127 
6.0439296 473.3258 755.7575 
6.0522752 471.7133 755.7778 
6.0605824 470.2417 755.6102 
6.068928 468.4579 754.9684 
6.0772608 466.4411 754.3803 
6.0856192 465.0994 753.8419 
6.0968192 464.0766 753.6144 
6.1026688 462.6208 753.4105 
6.1105792 461.8856 753.3306 
6.118912 460.8769 753.0607 
6.1272448 459.9898 752.5 
6.1356928 459.2193 751.7159 
6.1438848 458.3618 751.3351 
6.1522432 457.8901 750.8188 
6.16064 456.9031 749.9324 
6.1693952 456.8369 749.3874 
6.177216 456.5405 748.454 
6.1856768 456.4236 747.2859 
6.1938688 456.2437 745.8387 
6.2022656 456.0219 744.4059 
6.2105856 455.5998 742.7754 
6.2188672 455.1146 741.3616 
6.227584 455.129 740.2589 
6.2355328 454.846 738.9357 
6.2438272 454.6177 737.1359 
6.2521984 454.6058 735.3467 
6.2605184 454.3704 733.2323 
6.2688384 454.8236 731.5165 
6.2771712 454.7679 729.3835 
6.2855168 454.2381 727.1946 
6.2938368 453.7181 725.0726 
6.3049472 453.5691 723.1365 
6.3104512 453.2387 721.3342 
6.3188352 452.9305 719.3677 
6.3271296 452.8005 717.0908 
6.3355648 453.0337 714.4718 
6.3438208 453.5772 712.2201 
6.3521536 453.7324 710.363 
6.3604608 453.257 708.2017 
6.3688192 452.272 705.2843 
6.3775616 451.6829 703.4656 
6.385792 451.4707 701.5178 
6.3937664 451.6792 699.4292 
6.4021248 451.6012 696.9872 
6.4104192 451.5613 694.3162 
6.4187904 451.6892 691.8371 
6.4270976 451.5917 689.8315 
6.4354048 451.7079 687.8506 
6.4437632 451.3186 684.9478 
6.452096 450.8458 682.9222 
6.4639232 450.6032 681.0358 
6.47008 450.5546 679.0593 
6.4775168 450.1967 676.5172 
6.4854016 449.922 673.3405 
6.4936832 450.1047 670.5826 
6.5020672 450.0786 668.3983 
6.5103872 449.6895 666.3042 
6.5187456 449.4521 663.4139 
6.5270272 449.0591 661.0865 
6.5353984 448.381 658.8868 
6.5436928 447.9885 656.8251 
6.5525376 448.0437 655.1319 
6.560384 448.0736 653.0637 
6.5687168 447.9821 650.9476 
6.5770112 448.2211 648.9483 
6.5853952 448.4396 646.6239 
6.5936896 448.6714 644.8684 
6.6020224 448.6408 643.197 
6.6103936 448.6351 641.1552 
6.6186624 448.4404 639.0693 
6.6274304 448.2112 637.4125 
6.6353408 447.9084 635.6946 
6.6436224 447.9486 633.7795 
6.651968 448.0512 632.0792 
6.6603008 448.1168 630.1083 
6.6686208 448.3685 628.046 
6.6769408 448.7257 626.0272 
6.6852992 449.09 624.265 
6.6936192 449.5801 622.894 
6.7023488 449.6109 620.8787 
6.7104384 449.6511 619.0688 
6.7186048 449.3258 617.1008 
6.7276288 449.2987 615.3776 
6.7352576 449.3327 613.6835 
6.7435904 449.3391 610.9202 
6.751936 449.5465 607.9147 
6.764928 449.981 606.4592 
6.7686144 450.4387 604.8097 
6.7769344 451.0919 603.5876 
6.78528 451.8222 601.6705 
6.7935872 452.2224 599.6434 
6.8019328 452.2093 597.3477 
6.8102272 452.1374 595.3975 
6.8190464 452.3272 593.4343 
6.827008 452.6685 591.8762 
6.8353152 453.0067 590.4173 
6.84352 453.3382 588.5975 
6.8518784 453.9602 586.7209 
6.8602112 454.6544 584.9932 
6.86848 455.2885 583.3408 
6.8768768 456.1119 581.7634 
6.8853888 456.5893 580.1399 
6.8935296 456.8934 578.1091 
6.9018752 457.3243 576.0187 
6.910336 457.5085 573.612 
6.9184896 458.2067 571.8871 
6.9299584 458.8167 569.9363 
6.9352064 459.4602 567.5901 
6.943552 460.1179 565.4196 
6.9518592 460.9272 563.5587 
6.9602432 461.4518 561.7977 
6.9684736 462.3651 559.7872 
6.9772288 463.2072 557.7513 
6.9851776 463.875 555.3738 
